LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Pheophytin a,0,0.78,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Total Phosphorus,7723140,0.026,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Silica (SiO2),7631869,19.9,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Total Dissolved Solids,0,114,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Total Suspended Solids,0,5.8,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Total Suspended Solids,0,5.6,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Total Kjeldahl Nitrogen,0,0.126,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Field Specific Conductance,0, 190,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Field Water Temperature,0, 22.8,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
