Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,NDFS,BL5,,ES0821B0141,08/17/2021,10:09,,,,FIELD,mgilbert,TRUE,BB,"mgilbert, BB, PV",1,CLR,1.08,21.8,7.33,216,203,8.27,Flood,1,1,7.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"van dorn snapped, water collected by closing plunger manually",,ldixit,ehubbard
,,NDFS,PRS,,ES0821B0142,08/17/2021,9:30,,,,FIELD,mgilbert,TRUE,BB,"mgilbert, BB, PV",1,CLR,0.95,21.6,7.4,212,198,8.09,Flood,1,1,7.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,LIB,,ES0821B0143,08/17/2021,9:06,,,,FIELD,mgilbert,TRUE,BB,"mgilbert, BB, PV",1,CLR,1.8,21.8,7.7,204,192,7.79,Flood,1,1,3.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RYI,,ES0821B0144,08/17/2021,8:37,,,,FIELD,mgilbert,TRUE,BB,"mgilbert, BB, PV",1,CLR,1.73,22.4,7.91,205,194,7.96,Flood,1,1,4.8,,,,,,,,,,FALSE,FALSE,`FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,site = RYI,,ldixit,ehubbard
,,NDFS,RVB,,ES0821B0145,08/17/2021,7:50,,,,FIELD,mgilbert,TRUE,BB,"mgilbert, BB, PV",1,CLR,1.35,22.9,7.97,226,217,7.79,Flood,2,1,6.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,Shared,SHR,,ES0821B0146,08/17/2021,7:55,,,,FIELD,nikemiyagi,TRUE,pfarman,"abrady, pfarman",2,CLD,1.7,23.4,8.97,148,143,7.8,Ebb,1,1,3.8,1598,0.03,0.06,0.62,2.19,1186,781,398,101.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RMB,,ES0821B0152,08/30/2021,9:49,,,,FIELD,pfarman,TRUE,mbedwell,"mbedwell, abrady",1,CLR,0.27,24.0,4.54,666,653,7.59,Flood,1,2,26.4,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,accidentally opened USGS bottle slightly before immersing,,ldixit,ehubbard
,,NDFS,WWT,,ES0821B0153,08/30/2021,8:49,,,,FIELD,pfarman,TRUE,mbedwell,"mbedwell, abrady",1,CLR,NA,22.9,1.98,882,847,7.12,Flood,1,3,7.1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,could not take secchi. Lots of veg. could not take water at 1m,,ldixit,ehubbard
,,NDFS,RD22,,ES0821B0154,08/30/2021,7:10,,,,FIELD,mbedwell,TRUE,pfarman,"abrady, mbedwell",1,CLR,0.49,22.2,8.2,762,721,7.63,Flood,1,2,12.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,lots of primrose and duckweed at site. Had to shift under overpass,,ldixit,ehubbard
,,NDFS,DWT,,ES0821B0155,08/30/2021,8:03,,,,FIELD,ehubbard,TRUE,ldixit,"jrobinson, ldixit",2,CLR,0.14,24.2,3.96,1135,1118,8.08,Flood,1,2,47.8,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,ldixit,ehubbard
