LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Chloride,16887006,18.6,3,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Chlorophyll a,479618,1.27,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Organic Carbon,7440440,2.9,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Organic Carbon,7440440,2.8,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Duplicate
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Total Organic Carbon,7440440,2.8,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Duplicate
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Total Organic Carbon,7440440,2.8,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Organic Nitrogen,7727379,0.29,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved ortho-Phosphate,14265442,0.089,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Pheophytin a,0,1.43,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Total Phosphorus,7723140,0.093,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Silica (SiO2),7631869,11.2,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Total Dissolved Solids,0,125,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Total Suspended Solids,0,9.1,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Total Kjeldahl Nitrogen,0,0.343,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Field Specific Conductance,0, 216,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Field Water Temperature,0, 21.8,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Calcium,7440702,13.5,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Chloride,16887006,19.8,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Chlorophyll a,479618,0.78,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Organic Carbon,7440440,2.6,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Total Organic Carbon,7440440,2.6,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Organic Nitrogen,7727379,0.16,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved ortho-Phosphate,14265442,0.094,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Pheophytin a,0,0.66,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Total Phosphorus,7723140,0.092,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Dissolved Silica (SiO2),7631869,12.6,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Total Dissolved Solids,0,126,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Total Dissolved Solids,0,126,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Total Suspended Solids,0,4.7,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Total Kjeldahl Nitrogen,0,0.268,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Field Specific Conductance,0, 219,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0159,08/31/2021 10:16,Field Water Temperature,0, 22.1,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
